"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.530350591E2,6.012171913E1,2.445505818E1,2.442425527E1,1.600000024E0,9.090000153E1,9.935046196E0,2.500000000E0
1.540352834E2,6.012171840E1,2.445508660E1,2.456284514E1,1.559999943E0,9.309999847E1,9.935046196E0,2.500000000E0
1.550355153E2,6.012171709E1,2.445511505E1,2.457613051E1,1.600000024E0,9.600000000E1,9.935046196E0,2.500000000E0
1.560353687E2,6.012171491E1,2.445514371E1,2.447741758E1,1.570000052E0,9.740000153E1,9.935046196E0,2.500000000E0
1.570356340E2,6.012171205E1,2.445517218E1,2.412925445E1,1.590000033E0,1.010000000E2,9.935046196E0,2.500000000E0
1.580351491E2,6.012170862E1,2.445519999E1,2.409005097E1,1.610000014E0,1.025999985E2,9.935046196E0,2.500000000E0
1.590353671E2,6.012170461E1,2.445522759E1,2.393042547E1,1.590000033E0,1.040999985E2,9.935046196E0,2.500000000E0
1.600353231E2,6.012170060E1,2.445525477E1,2.362358259E1,1.549999952E0,1.043000031E2,9.935046196E0,2.500000000E0
1.610351168E2,6.012169606E1,2.445528252E1,2.352950962E1,1.610000014E0,1.064000015E2,9.935046196E0,2.500000000E0
1.620357201E2,6.012169081E1,2.445531081E1,2.332441521E1,1.649999976E0,1.089000015E2,9.935046196E0,2.500000000E0
1.630355812E2,6.012168531E1,2.445533789E1,2.341704889E1,1.539999962E0,1.111999969E2,9.935046196E0,2.500000000E0
1.640352783E2,6.012167957E1,2.445536349E1,2.327262023E1,1.600000024E0,1.138000031E2,9.935046196E0,2.500000000E0
1.650360793E2,6.012167293E1,2.445538943E1,2.341579068E1,1.580000043E0,1.158000031E2,9.935046196E0,2.500000000E0
1.660359614E2,6.012166511E1,2.445541464E1,2.337231587E1,1.600000024E0,1.193000031E2,9.935046196E0,2.500000000E0
1.670366221E2,6.012165643E1,2.445543844E1,2.312296846E1,1.600000024E0,1.225999985E2,9.935046196E0,2.500000000E0
1.680363463E2,6.012164676E1,2.445546149E1,2.297579392E1,1.610000014E0,1.265000000E2,9.935046196E0,2.500000000E0
1.690367506E2,6.012163630E1,2.445548317E1,2.317627460E1,1.590000033E0,1.298000031E2,9.935046196E0,2.500000000E0
1.700362145E2,6.012162565E1,2.445550464E1,2.336692853E1,1.610000014E0,1.316000061E2,9.935046196E0,2.500000000E0
1.710362580E2,6.012161445E1,2.445552554E1,2.346371019E1,1.629999995E0,1.333999939E2,9.935046196E0,2.500000000E0
1.720361985E2,6.012160338E1,2.445554593E1,2.340863554E1,1.610000014E0,1.343000031E2,9.935046196E0,2.500000000E0
1.730360627E2,6.012159203E1,2.445556569E1,2.322410475E1,1.600000024E0,1.366000061E2,9.935046196E0,2.500000000E0
1.740360330E2,6.012158036E1,2.445558456E1,2.315413606E1,1.600000024E0,1.378999939E2,9.935046196E0,2.500000000E0
1.750358704E2,6.012156871E1,2.445560253E1,2.294055039E1,1.580000043E0,1.398000031E2,9.935046196E0,2.500000000E0
1.760363731E2,6.012155729E1,2.445561925E1,2.292666977E1,1.590000033E0,1.411000061E2,9.935046196E0,2.500000000E0
1.770361815E2,6.012154580E1,2.445563520E1,2.277008797E1,1.519999981E0,1.433000031E2,9.935046196E0,2.500000000E0
1.780358467E2,6.012153414E1,2.445565137E1,2.282871662E1,1.549999952E0,1.445000000E2,9.935046196E0,2.500000000E0
1.790358756E2,6.012152240E1,2.445566751E1,2.273780918E1,1.529999971E0,1.456999969E2,9.935046196E0,2.500000000E0
1.800363723E2,6.012151040E1,2.445568263E1,2.264958615E1,1.559999943E0,1.466000061E2,9.935046196E0,2.500000000E0
1.810364618E2,6.012149763E1,2.445569745E1,2.252675661E1,1.580000043E0,1.488000031E2,9.935046196E0,2.500000000E0
1.820360141E2,6.012148471E1,2.445571270E1,2.260345174E1,1.590000033E0,1.486999969E2,9.935046196E0,2.500000000E0
1.830365440E2,6.012147184E1,2.445572839E1,2.267227390E1,1.580000043E0,1.483999939E2,9.935046196E0,2.500000000E0
1.840366437E2,6.012145948E1,2.445574367E1,2.256458127E1,1.590000033E0,1.473000031E2,9.935046196E0,2.500000000E0
1.850360343E2,6.012144722E1,2.445575921E1,2.255686448E1,1.580000043E0,1.475000000E2,9.935046196E0,2.500000000E0
1.860360651E2,6.012143544E1,2.445577411E1,2.241792070E1,1.580000043E0,1.475000000E2,9.935046196E0,2.500000000E0
1.870366506E2,6.012142385E1,2.445578906E1,2.230418430E1,1.590000033E0,1.478000031E2,9.935046196E0,2.500000000E0
1.880361120E2,6.012141237E1,2.445580388E1,2.231178550E1,1.549999952E0,1.478000031E2,9.935046196E0,2.500000000E0
1.890361108E2,6.012140099E1,2.445581837E1,2.240391982E1,1.549999952E0,1.478000031E2,9.935046196E0,2.500000000E0
1.900363082E2,6.012138917E1,2.445583375E1,2.234853388E1,1.600000024E0,1.473000031E2,9.935046196E0,2.500000000E0
1.910363285E2,6.012137763E1,2.445585034E1,2.237231190E1,1.610000014E0,1.471999969E2,9.935046196E0,2.500000000E0
1.920361309E2,6.012136558E1,2.445586672E1,2.230588022E1,1.639999986E0,1.481999969E2,9.935046196E0,2.500000000E0
1.930364189E2,6.012135295E1,2.445588256E1,2.231305682E1,1.679999948E0,1.493999939E2,9.935046196E0,2.500000000E0
